HPI,CCI_Lead3,CCI_Lead6,CCI_Lead9,CCI_Lead12,CCI_Lag3,CCI_Lag6,CCI_Lag9,CCI_Lag12,Creditloan,FCFI,HouseSt,HousePer,Unem,Newsales
1.132878416,1.00742115,0.977736549,1.019480519,1,0.87755102,0.755102041,0.856215213,0.796846011,1.180053883,1.238277794,0.87456847,0.839655172,0.921875,0.948427673
1.143880398,0.895176252,1.001855288,0.978664193,0.99257885,0.890538033,0.736549165,0.836734694,0.791280148,1.181420004,1.264523739,1.062715765,0.857471264,0.921875,0.909433962
1.155701726,0.948051948,0.988868275,1.015769944,0.971243043,0.859925788,0.814471243,0.841372913,0.749536178,1.191602347,1.302565615,1.00575374,0.988505747,0.90625,0.997484277
1.169611606,0.923005566,1.00742115,0.977736549,1.019480519,0.755102041,0.856215213,0.796846011,0.56122449,1.207699244,1.310970215,1.079401611,0.917816092,0.90625,0.940880503
1.182755058,0.941558442,0.895176252,1.001855288,0.978664193,0.736549165,0.836734694,0.791280148,0.464749536,1.22600689,1.318932468,1.100690449,0.967816092,0.875,0.914465409
1.192570035,0.894248609,0.948051948,0.988868275,1.015769944,0.814471243,0.841372913,0.749536178,0.520408163,1.242863207,1.317752875,1.012658228,0.942528736,0.890625,0.880503145
1.203817485,0.87755102,0.923005566,1.00742115,0.977736549,0.856215213,0.796846011,0.56122449,0.606679035,1.256489065,1.321144205,1.02301496,0.881609195,0.890625,0.899371069
1.21736431,0.890538033,0.941558442,0.895176252,1.001855288,0.836734694,0.791280148,0.464749536,0.6567718,1.278791298,1.327779416,1.054085155,0.914367816,0.9375,0.916981132
1.230147363,0.859925788,0.894248609,0.948051948,0.988868275,0.841372913,0.749536178,0.520408163,0.744897959,1.296816211,1.344736066,0.967203682,0.94137931,0.921875,0.914465409
1.241209966,0.755102041,0.87755102,0.923005566,1.00742115,0.796846011,0.56122449,0.606679035,0.781076067,1.309177672,1.385432026,0.876869965,0.851149425,0.9375,0.842767296
1.251752858,0.736549165,0.890538033,0.941558442,0.895176252,0.791280148,0.464749536,0.6567718,0.80890538,1.321924539,1.448097906,0.861910242,0.733333333,0.921875,0.750943396
1.261335469,0.814471243,0.859925788,0.894248609,0.948051948,0.749536178,0.520408163,0.744897959,0.729128015,1.346512665,1.489973459,0.771576525,0.720689655,0.9375,0.703144654
1.269892121,0.856215213,0.755102041,0.87755102,0.923005566,0.56122449,0.606679035,0.781076067,0.690166976,1.335396007,1.521085226,0.776754891,0.735632184,0.984375,0.744654088
1.278952378,0.836734694,0.736549165,0.890538033,0.941558442,0.464749536,0.6567718,0.80890538,0.640074212,1.33089014,1.565467414,0.602416571,0.68908046,0.984375,0.680503145
1.288069795,0.841372913,0.814471243,0.859925788,0.894248609,0.520408163,0.744897959,0.729128015,0.721706865,1.327701828,1.654969036,0.604718067,0.567816092,0.984375,0.596226415
1.296835582,0.796846011,0.856215213,0.755102041,0.87755102,0.606679035,0.781076067,0.690166976,0.756957328,1.322460196,1.703479799,0.533371692,0.464367816,1.078125,0.465408805
1.302784732,0.791280148,0.836734694,0.736549165,0.890538033,0.6567718,0.80890538,0.640074212,0.806122449,1.314295898,1.640813919,0.688147296,0.494827586,1.171875,0.589937107
1.306214139,0.749536178,0.841372913,0.814471243,0.859925788,0.744897959,0.729128015,0.721706865,0.769944341,1.312418498,1.547773518,0.730149597,0.642528736,1.1875,0.694339623
1.313867476,0.56122449,0.796846011,0.856215213,0.755102041,0.781076067,0.690166976,0.756957328,0.77458256,1.312940865,1.470952521,0.826237054,0.723563218,1.21875,0.8
1.325367722,0.464749536,0.791280148,0.836734694,0.736549165,0.80890538,0.640074212,0.806122449,0.794990724,1.323130612,1.457829549,0.846375144,0.785632184,1.203125,0.828930818
1.335779439,0.520408163,0.749536178,0.841372913,0.814471243,0.729128015,0.721706865,0.769944341,0.719851577,1.330261074,1.465644353,0.876294591,0.852873563,1.171875,0.749685535
1.343159624,0.606679035,0.56122449,0.796846011,0.856215213,0.690166976,0.756957328,0.77458256,0.701298701,1.333210054,1.487466824,0.86881473,0.785057471,1.171875,0.705660377
1.348662648,0.6567718,0.464749536,0.791280148,0.836734694,0.640074212,0.806122449,0.794990724,0.620593692,1.335164498,1.562076084,0.852704258,0.794827586,1.171875,0.706918239
1.355193042,0.744897959,0.520408163,0.749536178,0.841372913,0.721706865,0.769944341,0.719851577,0.617810761,1.359529126,1.672368033,0.890103567,0.717816092,1.125,0.66918239
1.362069562,0.781076067,0.606679035,0.56122449,0.796846011,0.756957328,0.77458256,0.701298701,0.602040816,1.345498497,1.750368623,0.716915995,0.701724138,1.171875,0.642767296
1.368334505,0.80890538,0.6567718,0.464749536,0.791280148,0.806122449,0.794990724,0.620593692,0.577922078,1.337187327,1.82542023,0.751438435,0.68908046,1.15625,0.641509434
1.373981368,0.729128015,0.744897959,0.520408163,0.749536178,0.769944341,0.719851577,0.617810761,0.525974026,1.343801535,1.813919198,0.782508631,0.679885057,1.15625,0.646540881
1.379421835,0.690166976,0.781076067,0.606679035,0.56122449,0.77458256,0.701298701,0.602040816,0.528756957,1.352297396,1.825125332,0.655926352,0.683908046,1.125,0.591194969
1.384698685,0.640074212,0.80890538,0.6567718,0.464749536,0.794990724,0.620593692,0.577922078,0.569573284,1.361619582,1.864494249,0.601265823,0.674137931,1.171875,0.587421384
1.388250859,0.721706865,0.729128015,0.744897959,0.520408163,0.719851577,0.617810761,0.525974026,0.525974026,1.373069587,1.891772339,0.601265823,0.56091954,1.171875,0.522012579
1.391551784,0.756957328,0.690166976,0.781076067,0.606679035,0.701298701,0.602040816,0.528756957,0.586270872,1.379740334,1.923621351,0.598964327,0.537356322,1.125,0.542138365
1.394475531,0.806122449,0.640074212,0.80890538,0.6567718,0.620593692,0.577922078,0.569573284,0.527829314,1.39015506,1.95930404,0.540851554,0.51091954,1.15625,0.475471698
1.397132175,0.769944341,0.721706865,0.729128015,0.744897959,0.617810761,0.525974026,0.525974026,0.538961039,1.412248072,2.00162194,0.524165708,0.486781609,1.1875,0.425157233
1.399989137,0.77458256,0.756957328,0.690166976,0.781076067,0.602040816,0.528756957,0.586270872,0.503710575,1.412364985,2.00678266,0.502301496,0.420114943,1.234375,0.447798742
1.402814862,0.794990724,0.806122449,0.640074212,0.80890538,0.577922078,0.569573284,0.527829314,0.532467532,1.417154724,1.968298437,0.481588032,0.429885057,1.296875,0.480503145
